Organisation,Event Name,Day,Start Date,Last Date,Duration (Hours),Weekend/Weekday/Anyday,Location,Cause1,Cause2,Cause3,Skills1,Skills2,Skills3,Suitability1,Suitability2,Suitability3,Suitability4,Min Age,Openings,Corporate Friendly (>10 openings)
Ang Mo Kio - Thye Hua Kwan Hospital,Bingo,Mon, 05 Mar 2018,Ad Hoc,3.0,Weekday,Ang Mo Kio,Elderly,null,null, NA,,, First Timers, Seniors, Open to All,,15,4,NoCSR
Yishun Community Hospital,Rooftop Gardening (At least 6 months) (8.30am-11am),Tue, 30 Jan 2018 , 31 Jan 2019,3,Weekday,Yishun,Community,Environment,Health, No Specific Skills Required,,, Open to All,,,,17,20,CSR
SingYouth Hub,Admin work for SingYouth Hub,Sat, 24 Feb 2018 , 31 Dec 2018,3,Anyday,Paya Lebar,Children & Youth,Community,Education, No Specific Skills Required,,, Open to All,,,,25,2,NoCSR
Samaritans of Singapore,Lend a listening ear. Be an SOS hotline volunteer,Wed, 1 Nov 2017 , 31 Dec 2026,2,Weekday,Outram,Community,Social Service,null, NA,,, Open to All,,,,23,183,CSR
Singapore Anglican Community Services,Cooking Class,Mon, 1 Jan 2018 , 31 Dec 2018,3,Weekday,Bukit Batok,Community,Elderly,Families, NA,,, Open to All,,,,13,1,NoCSR
Ren Ci Hospital,Bingo with Residents @ Ren Ci Community Hospital,Sun, 11 Mar 2018,Ad Hoc,2.0,Weekend,Novena,Community,Elderly,Health, No Specific Skills Required,,, Open to All,,,,13,39,CSR
People's Movement to Stop Haze,Haze Intelligence,Thu, 1 Feb 2018 , 30 Jun 2018,2,Weekday,Orchard,Children & Youth,Education,Environment, No Specific Skills Required,,, First Timers, Seniors, Open to All,,13,1,NoCSR
Ground-Up Initiative (GUI),Craftwork & Maintenance @ Kampung Kampus,Thu, 01 Mar 2018,Ad Hoc,6.0,Weekday,Yishun,Community,Education,Environment,,,,,,,,13,2,NoCSR
Care Community Services Society,d'Klub Mentoring Programme (P3-P6),Sat, 13 Jan 2018 , 12 Jan 2019,3,Weekend,Islandwide,Children & Youth,Community,Education, No Specific Skills Required,,, Open to All,,,,18,18,CSR
YMCA of Singapore,Y Sports @Clementi MINDS,Fri, 13 Apr 2018,Ad Hoc,2.5,Weekday,Clementi,Disability,Sports,null, No Specific Skills Required,,, Open to All,,,,17,10,CSR
YMCA of Singapore,Y Photo Club @ APSN CFA,Sat, 03 Mar 2018,Ad Hoc,3.0,Weekend,Paya Lebar,Disability,Social Service,null, No Specific Skills Required,,, First Timers, Seniors, Open to All,,17,5,NoCSR
Care Community Services Society,Tutors for CareHut Programme,Tue, 16 Jan 2018 , 15 Jan 2019,3,Weekday,Islandwide,Children & Youth,Community,Social Service, No Specific Skills Required,,, Open to All,,,,18,24,CSR
Singapore Disability Sports Council,Tiger Balm Boccia Invitational Singapore 2018,Mon, 28 May 2018,Ad Hoc,3.0,Weekday,Kallang,Disability,Sports,null, Leadership Development, Marketing & Communications, Volunteer Management, Open to All,,,,18,12,CSR
YMCA of Singapore,Y Visit @ Bizlink,Fri, 16 Mar 2018,Ad Hoc,3.0,Weekday,Bedok,Community,Disability,Social Service, No Specific Skills Required,,, First Timers, Open to All,,,17,15,CSR
Economic Development Innovations Singapore Pte Ltd,"Early Learning Programme (Faith Acts, Commonwealth)",Sat, 17 Mar 2018 , 17 Nov 2018,2,Weekend,Queenstown,Children & Youth,Education,null, No Specific Skills Required,,, First Timers, Open to All,,,16,10,CSR
YMCA of Singapore,Y Outing @ Handicaps Welfare Association,Sat, 31 Mar 2018,Ad Hoc,4.5,Weekend,Marina South,Community,Disability,Elderly, No Specific Skills Required,,, First Timers, Seniors, Open to All, Organisation or Groups,17,20,CSR
Special Olympics Singapore,Special Olympics Singapore Unified Floorball Team (Male),Sun, 1 Apr 2018 , 31 Dec 2018,2,Weekend,Marine Parade,Children & Youth,Community,Disability, No Specific Skills Required,,, Open to All,,,,21,10,CSR
The New Charis Mission,Free Haircut,Wed, 07 Mar 2018,Ad Hoc,2.0,Weekday,Ang Mo Kio,Elderly,null,null, Other Skills,,, Open to All,,,,19,2,NoCSR
Calvary Community Care,Be a Youth Mentor (ACE Programme),Thu, 1 Mar 2018 , 25 Aug 2018,3,Weekday,Bishan,Children & Youth,Education,Sports, Other Skills,,, Open to All,,,,17,10,CSR
Migrant Workers' Centre,MWC Help Kiosk,Wed, 21 Mar 2018,Ad Hoc,2.0,Weekday,Pioneer,Social Service,null,null,,,,,,,,13,2,NoCSR
AMKFSC Community Services,Enriching our children - Achieving Kids and Kins,Thu, 1 Feb 2018 , 31 Dec 2018,2,Weekday,Ang Mo Kio,Children & Youth,null,null, NA,,, Open to All,,,,18,10,CSR
YMCA of Singapore,Y Outing @ APSN CFA,Sat, 24 Mar 2018,Ad Hoc,5.0,Weekend,Kallang,Community,Disability,null, No Specific Skills Required,,, First Timers, Open to All,,,17,20,CSR
Singapore Red Cross Society,Shop@Redcross Programme,Mon, 1 Jan 2018 , 31 Dec 2018,3,Weekday,Orchard,Community,Disability,Elderly, No Specific Skills Required,,, First Timers, Seniors, Open to All, Family Friendly,13,10,CSR
Presbyterian Community Services,Community Befriending Programme,Tue, 2 Jan 2018 , 31 Jul 2018,3,Anyday,Toa Payoh,Community,Elderly,Social Service, No Specific Skills Required,,, First Timers, Seniors, Open to All, Family Friendly,48,25,CSR
Montfort Care,Medical Escort - Training Session!,Fri, 23 Mar 2018,Ad Hoc,5.0,Weekday,Outram,Community,Disability,Elderly, No Specific Skills Required,,, Open to All,,,,18,25,CSR
Loving Heart Multi-Service Centre (Jurong),Free Tuition Programme,Fri, 23 Feb 2018 , 9 Nov 2018,2,Weekday,Jurong East,Children & Youth,Education,Elderly, Other Skills,,, First Timers, Seniors, Open to All,,17,30,CSR
YMCA of Singapore,ISP@Myanmar (Maubin) - Open Team (28 Apr - 6 May 2018),Sat, 28 Apr 2018,Ad Hoc,1.0,Weekend,Overseas,Children & Youth,Community,Education, NA,,, Open to All,,,,13,10,CSR
Singapore Cancer Society,Singapore Cancer Society Relay for Life 2018,Sat, 10 Mar 2018,Ad Hoc,7.0,Weekend,Kallang,Community,Health,Social Service, No Specific Skills Required,,, Open to All,,,,16,202,CSR
YMCA of Singapore,Y Sports @Clementi MINDS,Fri, 09 Mar 2018,Ad Hoc,2.5,Weekday,Clementi,Disability,Sports,null, No Specific Skills Required,,, Open to All,,,,17,10,CSR
Singapore Anglican Community Services,Baking Class,Mon, 1 Jan 2018 , 31 Dec 2018,3,Weekday,Bukit Batok,Community,Elderly,Families, NA,,, Open to All,,,,13,1,NoCSR
Presbyterian Community Services,Community Befriending Programme,Tue, 2 Jan 2018 , 31 Jul 2018,3,Anyday,Tampines,Community,Elderly,Social Service, Arts & Music, Counselling & Mentoring, Other Skills, First Timers, Seniors, Family Friendly,,48,10,CSR
All Saints Home,Be an All Saints Home Volunteer!,Sat, 17 Nov 2018,Ad Hoc,2.5,Weekend,Tampines,Community,Elderly,Health, No Specific Skills Required,,, First Timers, Seniors, Open to All, Family Friendly,13,498,CSR
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,Delivery & Distribution of vegetarian meals to Elderly Home,Mon, 1 Jan 2018 , 31 Dec 2018,3,Weekday,Bedok,Community,Elderly,Social Service, Other Skills,,, Open to All,,,,13,2,NoCSR
Presbyterian Community Services,Community Befriending Programme,Tue, 2 Jan 2018 , 31 Jul 2018,3,Anyday,Bukit Timah,Community,Elderly,Social Service, NA,,, First Timers, Seniors, Open to All, Family Friendly,48,5,NoCSR
Montfort Care,Child Minding,Mon, 26 Feb 2018 , 30 Apr 2018,2,Weekday,Bukit Merah,Children & Youth,Community,Families, No Specific Skills Required,,, Open to All,,,,18,10,CSR
Community Networks for Seniors,Befriend a senior living near you,Sun, 1 Apr 2018 , 31 Mar 2019,3,Anyday,Islandwide,Community,Elderly,Health, No Specific Skills Required,,, Open to All,,,,13,100,CSR
Project CARE,Project CARE (Caring with Authenticity & Respect for Elders),Sat, 10 Mar 2018,Ad Hoc,4.0,Weekend,Bedok,Community,Elderly,Social Service, No Specific Skills Required,,, Open to All,,,,18,15,CSR
Bright Vision Hospital,Mini Patient Outing,Tue, 06 Mar 2018,Ad Hoc,3,Weekday,Hougang,Elderly,Health,null, No Specific Skills Required,,, Open to All,,,,18,6,NoCSR
En Community Services Society,Friday Morning Craftwork Volunteers,Fri, 16 Mar 2018 , 25 May 2018,3,Weekday,Tampines,Arts & Heritage,Community,Education, Arts & Music, Coaching & Training, Counselling & Mentoring, Seniors, Open to All, Organisation or Groups,,13,5,NoCSR
SINGAPORE HEART FOUNDATION,VWO Fair @ Fuhua Secondary School,Fri, 02 Mar 2018,Ad Hoc,3.0,Weekday,Jurong West,Children & Youth,Community,Elderly, Other Skills, No Specific Skills Required,, First Timers, Open to All,,,17,2,NoCSR
Singapore Anglican Community Services,Exercise Work-out Classes,Mon, 1 Jan 2018 , 31 Dec 2018,3,Weekday,Bukit Batok,Community,Families,Health, NA,,, Open to All,,,,13,5,NoCSR
Chinese Development Assistance Council,2018 Mandarin News Reading and Sharing Programme,Mon, 8 Jan 2018 , 30 Nov 2018,2,Weekday,Ang Mo Kio,Elderly,null,null, No Specific Skills Required,,, Open to All,,,,13,5,NoCSR
Focus on the Family Singapore Limited,SUPPORT DAILY OPERATIONS - Focus on the Family,Tue, 9 Jan 2018 , 1 Jan 2020,2,Weekday,Bishan,Children & Youth,Community,Education,,,,,,,,13,2,NoCSR
Me Too! Club (MINDS),Home Befriending with Me Too! Club (6 Months),Thu, 01 Mar 2018,Ad Hoc,6.0,Weekday,Islandwide,Community,Disability,Families, NA,,, First Timers, Open to All,,,13,15,CSR
Care Community Services Society,Queenstown d'Klub Mentoring Programme (P3-P6),Thu, 25 Jan 2018 , 26 Jan 2019,2,Weekday,Queenstown,Children & Youth,Community,Education, No Specific Skills Required,,, Open to All,,,,18,7,NoCSR
Boys' Town,Boys' Town Flag Day 2018,Wed, 14 Mar 2018,Ad Hoc,4.0,Weekday,Bukit Timah,Children & Youth,Community,Families, Other Skills,,, Open to All,,,,15,94,CSR
Young Women's Christian Association of Singapore,YWCA - Empowering Mum Programme,Fri, 09 Mar 2018,Ad Hoc,4.0,Weekday,Outram,Community,Families,Women & Girls, NA,,, Open to All,,,,16,15,CSR
Infant Jesus Homes & Children's Centres,Tutoring,Thu, 1 Mar 2018 , 30 Nov 2018,3,Weekday,Ang Mo Kio,Children & Youth,null,null, Other Skills,,, First Timers,,,,13,3,NoCSR
Lakeside Family Services,Expedition Agape,Sat, 17 Mar 2018 , 16 Feb 2019,2,Weekend,Jurong West,Children & Youth,Community,Education, Counselling & Mentoring, Other Skills,, Open to All,,,,21,20,CSR
SPD (formerly Society for the Physically Disabled),SPD Flag Day 2018,Sat, 07 Apr 2018,Ad Hoc,8.0,Weekend,Outram,Disability,null,null, No Specific Skills Required,,, First Timers, Seniors, Open to All, Family Friendly,15,100,CSR
Blossom World Society,Blossom World Flag Day,Sat, 21 Apr 2018,Ad Hoc,5.0,Weekend,Islandwide,Children & Youth,Community,Education, No Specific Skills Required,,, First Timers, Seniors, Open to All, Family Friendly,15,1995,CSR
Singapore Anglican Community Services,Music Appreciation,Mon, 1 Jan 2018 , 31 Dec 2018,3,Weekday,Bukit Batok,Community,Families,Health, Arts & Music,,, Open to All,,,,13,1,NoCSR
The National Kidney Foundation,Fundraising @ Thiam Hock Keng,Sat, 17 Mar 2018,Ad Hoc,2.5,Weekend,Bishan,Community,Disability,Elderly, Fundraising, No Specific Skills Required,, First Timers, Open to All,,,18,5,NoCSR
HCA HOSPICE CARE,Lend a Helping Hand,Fri, 12 Jan 2018 , 30 Jun 2018,2,Weekday,Islandwide,Elderly,Health,null, No Specific Skills Required,,, First Timers, Open to All,,,13,30,CSR
AMKFSC Community Services,Baking for low income families - Bakery Hearts,Tue, 2 Jan 2018 , 31 Dec 2018,2,Weekday,Ang Mo Kio,Families,null,null, NA,,, Open to All,,,,16,5,NoCSR
AMKFSC Community Services,Enriching our children - BASIC Student Care Services (Ang Mo Kio),Tue, 2 Jan 2018 , 31 Dec 2018,2,Weekday,Ang Mo Kio,Children & Youth,null,null, NA,,, Open to All,,,,16,5,NoCSR
Singapore Cancer Society,Singapore Cancer Society Relay for Life 2018,Sat, 10 Mar 2018,Ad Hoc,7.0,Weekend,Kallang,Community,Health,Social Service, No Specific Skills Required,,, Open to All,,,,16,115,CSR
Calvary Community Care,Volunteers needed! (OTAGO Exercise for seniors),Sat, 24 Feb 2018 , 28 Jul 2018,2,Weekend,Bishan,Community,Elderly,Health, Other Skills,,, First Timers, Seniors, Open to All,,13,20,CSR
Pioneer Generation Office,Pioneer Generation Ambassadors (PGA) Recruitment Talk @ RSVP Singapore,Sun, 1 Apr 2018 , 31 Mar 2019,3,Anyday,Bishan,Community,Education,Elderly, Other Skills, No Specific Skills Required,, Open to All,,,,17,20,CSR
LearnIn Pte Ltd,Enabling Futures : Lifeskills for the Digital Economy (AWWA),Sat, 10 Mar 2018,Ad Hoc,7.5,Weekend,Ang Mo Kio,Children & Youth,Community,Disability, Counselling & Mentoring, No Specific Skills Required,, First Timers, Organisation or Groups,,,16,4,NoCSR
Yishun Community Hospital,Porters required (at least 6 months),Mon, 1 Jan 2018 , 31 Dec 2018,2,Weekday,Yishun,Community,Elderly,Health, No Specific Skills Required,,, Open to All,,,,25,5,NoCSR
YMCA of Singapore,Y Spring Clean @ Teck Ghee,Sat, 24 Mar 2018,Ad Hoc,3.5,Weekend,Ang Mo Kio,Community,Elderly,Social Service, No Specific Skills Required,,, First Timers, Open to All,,,17,9,NoCSR
South Central Community Family Service Centre Limited,Tutoring Opportunities for Working Adults,Fri, 17 Nov 2017 , 17 Nov 2018,3,Anyday,River Valley,Children & Youth,Families,Social Service, No Specific Skills Required,,, Open to All,,,,20,7,NoCSR
The National Kidney Foundation,Patient Escort,Thu, 11 Jan 2018 , 31 Dec 2018,3,Anyday,Islandwide,Disability,Elderly,Health, No Specific Skills Required,,, Open to All,,,,21,10,CSR
President's Challenge,Help us raise funds for PC at the Istana Open House,Tue, 01 May 2018,Ad Hoc,5.5,Weekday,Islandwide,Children & Youth,Disability,Elderly, No Specific Skills Required,,, Open to All,,,,15,15,CSR
Montfort Care,Volunteer Tutor,Thu, 1 Mar 2018 , 31 Dec 2018,3,Weekday,Outram,Children & Youth,Families,null, Other Skills,,, Open to All,,,,20,1,NoCSR
Singapore Anglican Community Services,Reading Club,Mon, 1 Jan 2018 , 31 Dec 2018,3,Weekday,Bukit Batok,Community,Families,Health, NA,,, Open to All,,,,13,1,NoCSR
LearnIn Pte Ltd,Enabling Futures : Lifeskills for the Digital Economy (AWWA),Sat, 10 Mar 2018,Ad Hoc,7.5,Weekend,Ang Mo Kio,Children & Youth,Community,Disability, Counselling & Mentoring, No Specific Skills Required,, First Timers, Organisation or Groups,,,16,4,NoCSR
YMCA of Singapore,Y Visit @ COH,Fri, 23 Mar 2018,Ad Hoc,2.5,Weekday,Toa Payoh,Community,Disability,Social Service, No Specific Skills Required,,, First Timers, Open to All,,,13,9,NoCSR
St Luke's Hospital,Volunteering Opportunities,Tue, 16 Jan 2018 , 21 Dec 2018,3,Weekday,Bukit Batok,Community,Disability,Elderly, Volunteer Management, Other Skills,, Open to All,,,,18,1,NoCSR
Bethesda Community Assistance and Relationship Enrichment Centre,BCARE Academic Assistance Programme for Low-Income Families,Tue, 6 Feb 2018 , 30 Oct 2018,3,Weekday,Sengkang,Children & Youth,Community,Education, Coaching & Training,,, Open to All,,,,21,2,NoCSR
Singapore Red Cross Society,Elderaid befriender,Thu, 1 Mar 2018 , 31 Dec 2018,3,Anyday,Yishun,Community,Elderly,Humanitarian, NA,,, Seniors,,,,50,50,CSR
All Saints Home,Be an All Saints Home Volunteer!,Sat, 17 Nov 2018,Ad Hoc,2.5,Weekend,Jurong East,Community,Elderly,Health, No Specific Skills Required,,, First Timers, Seniors, Open to All, Family Friendly,13,489,CSR
SINGAPORE HEART FOUNDATION,Save-A-Life,Thu, 15 Mar 2018,Ad Hoc,6.0,Weekday,Jurong East,Community,Education,Health, No Specific Skills Required,,, Open to All,,,,16,9,NoCSR
Bright Vision Hospital,Mahjong Session,Thu, 08 Mar 2018,Ad Hoc,3,Weekday,Hougang,Community,Elderly,null, No Specific Skills Required,,, First Timers, Seniors,,,18,4,NoCSR
Students Care Service,Engage children and youths at SCS!,Tue, 2 Jan 2018 , 31 Dec 2018,3,Anyday,Hougang,Children & Youth,Education,Families,,,,,,,,13,2,NoCSR
National Heritage Board,Monument Walking Tours,Thu, 1 Mar 2018 , 31 Mar 2019,3,Anyday,Downtown Core,Arts & Heritage,Community,Education, Volunteer Management,,, Open to All,,,,18,2,NoCSR
Migrant Workers' Centre,MWC Help Kiosk,Wed, 28 Mar 2018,Ad Hoc,2.0,Weekday,Woodlands,Social Service,null,null,,,,,,,,13,2,NoCSR
AMKFSC Community Services,Enriching our children - BASIC Student Care Services (Cheng San),Tue, 2 Jan 2018 , 31 Dec 2018,2,Weekday,Ang Mo Kio,Children & Youth,null,null, NA,,, Open to All,,,,16,5,NoCSR
Yong-en Care Centre,Tuition,Sat, 27 Jan 2018 , 30 Nov 2018,3,Anyday,Outram,Children & Youth,null,null, Other Skills,,, Open to All,,,,17,9,NoCSR
Migrant Workers' Centre,MWC Help Kiosk,Wed, 07 Mar 2018,Ad Hoc,2.0,Weekday,Pioneer,Social Service,null,null,,,,,,,,13,2,NoCSR
Yishun Community Hospital,Patient Sitter Volunteer,Mon, 27 Nov 2017 , 31 Dec 2018,3,Anyday,Yishun,Community,Elderly,Health, No Specific Skills Required,,, Open to All,,,,25,18,CSR
WISE - WASH in Southeast Asia Limited,Training and mentoring program,Thu, 1 Feb 2018 , 31 Jan 2019,2,Weekday,Ang Mo Kio,Community,Environment,Health, Coaching & Training, Volunteer Management, Other Skills, Open to All,,,,18,1,NoCSR
Calvary Community Care,Brisk Walking With Seniors,Wed, 04 Jul 2018,Ad Hoc,3.5,Weekday,Serangoon,Community,Elderly,null, NA,,, Open to All,,,,13,3,NoCSR
Operation Hope Foundation,House building project in Cambodia,Thu, 29 Mar 2018,Ad Hoc,1.0,Weekday,Tanglin,Children & Youth,Community,Humanitarian, No Specific Skills Required,,, Open to All,,,,13,16,CSR
SINGAPORE SILAT FEDERATION,National Pencak silat Championship,Fri, 30 Mar 2018 , 1 Apr 2018,3,Anyday,Bedok,Children & Youth,Community,Education, Leadership Development, Volunteer Management, Other Skills, Open to All,,,,17,4,NoCSR
Empower Ageing Limited,Dementia Outing Project,Mon, 5 Mar 2018 , 30 Jun 2018,2,Weekday,Geylang,Community,Elderly,Health, No Specific Skills Required,,, First Timers, Seniors, Open to All, Family Friendly,18,8,NoCSR
Presbyterian Community Services,Community Befriending Programme,Tue, 2 Jan 2018 , 31 Jul 2018,3,Anyday,Serangoon,Community,Elderly,Social Service, Arts & Music, Counselling & Mentoring, Medical & Health, First Timers, Seniors, Family Friendly,,48,25,CSR
YMCA of Singapore,Y Makan Fellowship 2018,Sat, 24 Mar 2018,Ad Hoc,5.0,Weekend,Orchard,Community,Disability,Elderly, No Specific Skills Required,,, First Timers, Open to All,,,13,10,CSR
Chinese Development Assistance Council,2018 Mandarin News Reading and Sharing Programme,Mon, 8 Jan 2018 , 30 Nov 2018,2,Weekday,Choa Chu Kang,Elderly,null,null, No Specific Skills Required,,, Open to All,,,,13,5,NoCSR
LearnIn Pte Ltd,Enabling Futures : Lifeskills for the Digital Economy (MINDS),Sat, 03 Mar 2018,Ad Hoc,2.5,Weekend,Paya Lebar,Children & Youth,Community,Disability, No Specific Skills Required,,, First Timers, Organisation or Groups,,,16,3,NoCSR
Singapore Red Cross Society,Social Worker Network,Mon, 1 Jan 2018 , 31 Dec 2018,3,Anyday,Orchard,Community,Disability,Humanitarian, Other Skills,,, Open to All,,,,13,20,CSR
Singapore Anglican Community Services,Simple Science Workshop,Mon, 1 Jan 2018 , 31 Dec 2018,3,Weekday,Bukit Batok,Community,Elderly,Families, NA,,, Open to All,,,,13,1,NoCSR
Singapore Anglican Community Services,Entertainment Session - Hobbies/Games,Mon, 1 Jan 2018 , 31 Dec 2018,3,Weekday,Bukit Batok,Community,Elderly,Families, NA,,, Open to All,,,,13,2,NoCSR
AMKFSC Community Services,Enriching our children - BASIC Student Care Services (Sengkang),Tue, 2 Jan 2018 , 31 Dec 2018,2,Weekday,Sengkang,Children & Youth,null,null, NA,,, Open to All,,,,16,5,NoCSR
South Central Community Family Service Centre Limited,Weekly English Tutoring for Primary School Students,Thu, 1 Feb 2018 , 31 Aug 2018,2,Weekday,River Valley,Children & Youth,Education,Families, NA,,, First Timers, Open to All,,,18,5,NoCSR
Bright Vision Hospital,Ward Birthday Celebration,Tue, 06 Mar 2018,Ad Hoc,3,Weekday,Hougang,Community,Elderly,Health, No Specific Skills Required,,, First Timers, Seniors, Open to All,,16,8,NoCSR
Singapore Cancer Society,Singapore Cancer Society - Call Management Centre,Thu, 1 Feb 2018 , 30 Apr 2018,3,Anyday,Bishan,Community,Health,Social Service, Other Skills,,, Open to All,,,,25,5,NoCSR
Young Women's Christian Association of Singapore,Volunteering with YWCA Workz on Wheels (WoW) programme,Wed, 07 Mar 2018,Ad Hoc,3.5,Weekday,Hougang,Children & Youth,Community,null, Other Skills,,, Open to All,,,,16,10,CSR
Volunteer Bike Patrol,Volunteers for shared-bike patrols,Mon, 25 Dec 2017 , 31 Dec 2018,3,Anyday,Islandwide,Community,Environment,null, NA,,, Open to All,,,,15,100,CSR
The New Charis Mission,Befriending/Cleaning,Wed, 07 Mar 2018,Ad Hoc,2.0,Weekday,Ang Mo Kio,Elderly,null,null, No Specific Skills Required,,, Open to All,,,,15,10,CSR
