web-scraper-order,web-scraper-start-url,EventID,EventID-href,Organisation,Event Name,DayDate,Duration,Location,Cause1,Cause2,Cause3,Skills,Suitability,Min Age
1517464480-221,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6642681,YMCA of Singapore,Y Visit @ SCH,"Sat, 24 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 10 Mar 2018 1:30 PM 
	                               	
	               		 
	                	Sat, 07 Apr 2018 1:30 PM 
	                               	
	               		 
	                	Sat, 12 May 2018 1:30 PM 
	                               	
	               		 
	                	Sat, 09 Jun 2018 1:30 PM 
	                               	
	               		 
	                	Sat, 07 Jul 2018 1:30 PM 
	                               	
	               		 
	                	Sat, 11 Aug 2018 1:30 PM 
	                               	
	               		 
	                	Sat, 15 Sep 2018 1:30 PM 
	                               	
	               		 
	                	Sat, 13 Oct 2018 1:30 PM 
	                               	
	               		 
	                	Sat, 08 Dec 2018 1:30 PM",1:30 PM TO 4:30 PM (3.0 hours),"Sembawang
                  
                    20, SEMBAWANG CRESCENT 

                    Singapore 757092",Community,Disability,Elderly,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 17
1517464260-177,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6344501,Parkinson Society Singapore,Exercise Class Assistant,"Mon, 1 Jan 2018 to Sat, 30 Jun 2018",Few hours a week on weekday,"Bishan
                  
                    191, BISHAN STREET 13, HDB-BISHAN 

                    Singapore 570191",Community,Elderly,Health,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 15
1517464415-208,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6675853,The National Kidney Foundation,Fundraising @ Koon Teck Tng,"Sun, 04 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sun, 04 Mar 2018 12:00 PM",6:30 AM TO 12:00 PM (5.5 hours),"Toa Payoh
                  
                    525 BALESTIER ROAD 

                    Singapore 329854",Children & Youth,Community,Elderly,Skills required: Fundraising,"Suitable for: First Timers, Seniors, Open to All, Family Friendly",Min. age: 21
1517464320-189,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6600120,Singapore Red Cross Society,World Blood Donor Day,"Sat, 23 Jun 2018",7:30 AM TO 2:00 PM (6.5 hours),"Downtown Core
                  
                    18 MARINA GARDENS DRIVE 

                    Singapore 018953",Community,Health,Humanitarian,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 18
1517464340-193,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6573336,Blossom World Society,Blossom World Flag Day,"Sat, 21 Apr 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 21 Apr 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 21 Apr 2018 1:00 PM",9:00 AM TO 2:00 PM (5.0 hours),"Islandwide
                  
                    9 TOH YI DRIVE 

                    Singapore 590009",Children & Youth,Community,Education,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All, Family Friendly",Min. age: 15
1517464646-254,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6405819,Migrant Workers' Centre,MWC Help Kiosk,"Wed, 07 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Wed, 14 Mar 2018 7:00 PM 
	                               	
	               		 
	                	Wed, 18 Apr 2018 7:00 PM 
	                               	
	               		 
	                	Wed, 23 May 2018 7:00 PM 
	                               	
	               		 
	                	Wed, 27 Jun 2018 7:00 PM",7:00 PM TO 9:00 PM (2.0 hours),"Paya Lebar
                  
                    7, KAKI BUKIT AVENUE 3, KAKI BUKIT RECREATION CENTRE 

                    Singapore 415814",Social Service,null,null,null,null,null
1517464576-240,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6674252,Ren Ci Hospital,CNY Art-n-Crafts with the Residents @Ren Ci Community Hospital,"Sun, 11 Feb 2018",10:00 AM TO 12:00 PM (2.0 hours),"Novena
                  
                    71 IRRAWADDY ROAD 

                    Singapore 329562",Community,Elderly,Health,Skills required: No Specific Skills Required,Suitable for: Open to All,null
1517464460-217,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6680293,Singapore Disability Sports Council,Micron Foundation Singapore World Para Bowling Tour Series 2018,"Mon, 26 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Tue, 27 Feb 2018 8:00 AM 
	                               	
	               		 
	                	Wed, 28 Feb 2018 8:00 AM 
	                               	
	               		 
	                	Thu, 01 Mar 2018 8:00 AM",8:00 AM TO 6:00 PM (10.0 hours),"Bukit Timah
                  
                    131 RIFLE RANGE ROAD 

                    Singapore 588406",Disability,Sports,null,Skills required: NA,Suitable for: Open to All,null
1517463404-7,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6607531,Filos Community Services,Community Befriending Programme,"Mon, 15 Jan 2018 to Fri, 15 Jun 2018",Flexible on weekday or weekend,"Bedok
                  
                    38 CHAI CHEE AVENUE 

                    Singapore 461038",Community,Elderly,null,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 18
1517464170-159,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6408323,Presbyterian Community Services,Community Befriending Programme,"Tue, 2 Jan 2018 to Tue, 31 Jul 2018",Flexible on weekday or weekend,"Tampines
                  
                    827A TAMPINES STREET 81 

                    Singapore 521827",Community,Elderly,Social Service,"Skills required: Arts & Music, Counselling & Mentoring, Other Skills, No Specific Skills Required","Suitable for: First Timers, Seniors, Family Friendly",Min. age: 48
1517464083-142,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6600261,The National Kidney Foundation,Patient Escort,"Thu, 11 Jan 2018 to Mon, 31 Dec 2018",Flexible on weekday or weekend,"Islandwide
                  
                    81 KIM KEAT ROAD 

                    Singapore 328836",Disability,Elderly,Health,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 21
1517464295-184,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6255292,All Saints Home,Be an All Saints Home Volunteer!,"Sat, 17 Nov 2018",2:00 PM TO 4:30 PM (2.5 hours),"Jurong East
                  
                    20 JURONG EAST AVENUE 1 

                    Singapore 609792",Community,Elderly,Health,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All, Family Friendly",null
1517464385-202,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6591536,The New Charis Mission,Free Haircut,"Wed, 07 Mar 2018",7:30 PM TO 9:30 PM (2.0 hours),"Ang Mo Kio
                  
                    217 ANG MO KIO AVENUE 1 

                    Singapore 560217",Elderly,null,null,Skills required: Other Skills,Suitable for: Open to All,Min. age: 19
1517464531-231,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6405753,Migrant Workers' Centre,MWC Help Kiosk,"Wed, 21 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Wed, 28 Mar 2018 7:00 PM 
	                               	
	               		 
	                	Wed, 02 May 2018 7:00 PM 
	                               	
	               		 
	                	Wed, 06 Jun 2018 7:00 PM",7:00 PM TO 9:00 PM (2.0 hours),"Woodlands
                  
                    200, WOODLANDS INDUSTRIAL PARK E7, WOODLANDS RECREATION CENTRE 

                    Singapore 757177",Social Service,null,null,null,null,null
1517464435-212,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6637396,The Ray of Hope Initiative Limited (ROHI),Chinese New Year Spring Cleaning & Lunch,"Sat, 03 Mar 2018",9:00 AM TO 1:00 PM (4.0 hours),"Woodlands
                  
                    4 MARSILING ROAD 

                    Singapore 730004",Community,Elderly,Families,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 18
1517464375-200,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6595727,Singapore Cancer Society,Singapore Cancer Society Relay for Life 2018,"Sat, 10 Mar 2018",4:00 PM TO 11:00 PM (7.0 hours),"Kallang
                  
                    1 Stadium Drive 

                    Singapore 397629",Community,Health,Social Service,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 16
1517464445-214,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6405727,Migrant Workers' Centre,MWC Help Kiosk,"Wed, 28 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Wed, 04 Apr 2018 7:00 PM 
	                               	
	               		 
	                	Wed, 09 May 2018 7:00 PM 
	                               	
	               		 
	                	Wed, 13 Jun 2018 7:00 PM",7:00 PM TO 9:00 PM (2.0 hours),"Pioneer
                  
                    27, PENJURU WALK, PENJURU RECREATION CENTRE 

                    Singapore 608538",Social Service,null,null,null,null,null
1517464641-253,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6562054,The New Charis Mission,Befriending/Cleaning,"Wed, 07 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Wed, 21 Feb 2018 7:30 PM 
	                               	
	               		 
	                	Wed, 28 Feb 2018 7:30 PM",7:30 PM TO 9:30 PM (2.0 hours),"Bedok
                  
                    23, CHAI CHEE ROAD 

                    Singapore 461023",Elderly,null,null,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 15
1517464556-236,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6646041,Movement for the Intellectually Disabled of Singapore (MINDS),Me Too! Club Regular Volunteers,"Fri, 16 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Thu, 01 Mar 2018 9:30 AM 
	                               	
	               		 
	                	Fri, 16 Mar 2018 9:30 AM 
	                               	
	               		 
	                	Sun, 01 Apr 2018 9:30 AM 
	                               	
	               		 
	                	Mon, 16 Apr 2018 9:30 AM 
	                               	
	               		 
	                	Tue, 01 May 2018 9:30 AM 
	                               	
	               		 
	                	Wed, 16 May 2018 9:30 AM 
	                               	
	               		 
	                	Fri, 01 Jun 2018 9:30 AM 
	                               	
	               		 
	                	Sat, 16 Jun 2018 9:30 AM 
	                               	
	               		 
	                	Sun, 01 Jul 2018 9:30 AM 
	                               	
	               		 
	                	Mon, 16 Jul 2018 9:30 AM 
	                               	
	               		 
	                	Wed, 01 Aug 2018 9:30 AM 
	                               	
	               		 
	                	Thu, 16 Aug 2018 9:30 AM 
	                               	
	               		 
	                	Sat, 01 Sep 2018 9:30 AM 
	                               	
	               		 
	                	Sun, 16 Sep 2018 9:30 AM 
	                               	
	               		 
	                	Mon, 01 Oct 2018 9:30 AM 
	                               	
	               		 
	                	Tue, 16 Oct 2018 9:30 AM 
	                               	
	               		 
	                	Thu, 01 Nov 2018 9:30 AM 
	                               	
	               		 
	                	Fri, 16 Nov 2018 9:30 AM 
	                               	
	               		 
	                	Sat, 01 Dec 2018 9:30 AM 
	                               	
	               		 
	                	Sun, 16 Dec 2018 9:30 AM",9:30 AM TO 11:00 AM (289.5 hours),"Geylang
                  
                    11 JALAN UBI 

                    Singapore 409074",Disability,null,null,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 18
1517464561-237,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6646186,Movement for the Intellectually Disabled of Singapore (MINDS),Me Too! Club Adhoc Volunteers,"Fri, 16 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Thu, 01 Mar 2018 9:30 AM 
	                               	
	               		 
	                	Fri, 16 Mar 2018 9:30 AM 
	                               	
	               		 
	                	Sun, 01 Apr 2018 9:30 AM 
	                               	
	               		 
	                	Mon, 16 Apr 2018 9:30 AM 
	                               	
	               		 
	                	Tue, 01 May 2018 9:30 AM 
	                               	
	               		 
	                	Wed, 16 May 2018 9:30 AM 
	                               	
	               		 
	                	Fri, 01 Jun 2018 9:30 AM 
	                               	
	               		 
	                	Sat, 16 Jun 2018 9:30 AM 
	                               	
	               		 
	                	Sun, 01 Jul 2018 9:30 AM 
	                               	
	               		 
	                	Mon, 16 Jul 2018 9:30 AM 
	                               	
	               		 
	                	Wed, 01 Aug 2018 9:30 AM 
	                               	
	               		 
	                	Thu, 16 Aug 2018 9:30 AM 
	                               	
	               		 
	                	Sat, 01 Sep 2018 9:30 AM 
	                               	
	               		 
	                	Sun, 16 Sep 2018 9:30 AM 
	                               	
	               		 
	                	Mon, 01 Oct 2018 9:30 AM 
	                               	
	               		 
	                	Tue, 16 Oct 2018 9:30 AM 
	                               	
	               		 
	                	Thu, 01 Nov 2018 9:30 AM 
	                               	
	               		 
	                	Fri, 16 Nov 2018 9:30 AM 
	                               	
	               		 
	                	Sat, 01 Dec 2018 9:30 AM 
	                               	
	               		 
	                	Sun, 16 Dec 2018 9:30 AM",9:30 AM TO 11:00 AM (289.5 hours),"Geylang
                  
                    11, JALAN UBI, KEMBANGAN-CHAI CHEE COMMUNITY HUB 

                    Singapore 409074",Disability,null,null,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 18
1517464631-251,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6562209,The New Charis Mission,Befriending/Cleaning,"Wed, 07 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Wed, 21 Feb 2018 7:30 PM 
	                               	
	               		 
	                	Wed, 28 Feb 2018 7:30 PM",7:30 PM TO 9:30 PM (2.0 hours),"Ang Mo Kio
                  
                    217, ANG MO KIO AVENUE 1 

                    Singapore 560217",Elderly,null,null,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 15
1517464636-252,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6561893,The New Charis Mission,Befriending/Cleaning,"Wed, 07 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Wed, 21 Feb 2018 7:30 PM 
	                               	
	               		 
	                	Wed, 28 Feb 2018 7:30 PM",7:30 PM TO 9:30 PM (2.0 hours),"Ang Mo Kio
                  
                    206, ANG MO KIO AVENUE 1 

                    Singapore 560206",Elderly,null,null,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 15
1517464455-216,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6647496,YMCA of Singapore,Y Spring Clean@ Jalan Bukit Merah,"Tue, 27 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 17 Mar 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 21 Apr 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 12 May 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 30 Jun 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 14 Jul 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 11 Aug 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 22 Sep 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 20 Oct 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 17 Nov 2018 9:00 AM",9:00 AM TO 12:30 PM (3.5 hours),"Bukit Merah
                  
                    105 JALAN BUKIT MERAH 

                    Singapore 160105",Community,Elderly,Social Service,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All",Min. age: 17
1517464581-241,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6562304,Harvest Care Centre,#VforVolunteer - Level 1 Volunteer Training Programme,"Sat, 10 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 24 Feb 2018 10:00 AM 
	                               	
	               		 
	                	Sat, 10 Mar 2018 10:00 AM 
	                               	
	               		 
	                	Sat, 24 Mar 2018 10:00 AM",10:00 AM TO 12:30 PM (2.5 hours),"Geylang
                  
                    165, SIMS AVENUE 

                    Singapore 387606",Children & Youth,Community,Elderly,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 15
1517464681-261,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6671815,SAGE Counselling Centre,Outing with Elderly,"Wed, 07 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Thu, 08 Feb 2018 10:30 AM",10:30 AM TO 4:30 PM (6.0 hours),"Boon Lay
                  
                    1 JURONG WEST CENTRAL 2 

                    Singapore 648886",Elderly,null,null,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 18
1517464490-223,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6660189,South Central Community Family Service Centre Limited,Adhoc Volunteering - Interacting with Children,"Sat, 24 Feb 2018",11:00 AM TO 3:00 PM (4.0 hours),"River Valley
                  
                    5 DELTA AVENUE 

                    Singapore 160005",Children & Youth,Community,Elderly,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All",Min. age: 16
1517464500-225,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6567744,BEYOND SOCIAL SERVICES,Creating a Clean Environment for Preschoolers,"Sat, 24 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 03 Mar 2018 10:00 AM 
	                               	
	               		 
	                	Sat, 10 Mar 2018 10:00 AM 
	                               	
	               		 
	                	Sat, 17 Mar 2018 10:00 AM 
	                               	
	               		 
	                	Sat, 24 Mar 2018 10:00 AM 
	                               	
	               		 
	                	Sat, 31 Mar 2018 10:00 AM",10:00 AM TO 1:00 PM (3.0 hours),"Bukit Merah
                  
                    120, BUKIT MERAH VIEW 

                    Singapore 152120",Children & Youth,Environment,Social Service,Skills required: No Specific Skills Required,Suitable for: Open to All,null
1517464225-170,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6594853,Singapore Anglican Community Services,Baking Class,"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",1 day per week on weekday,"Bukit Batok
                  
                    267 BUKIT BATOK EAST AVENUE 4 

                    Singapore 650267",Community,Elderly,Families,Skills required: NA,Suitable for: Open to All,null
